"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
9768;1192715;6150321;196909;0,104
9768;1192715;6150321;196910;0,056
9768;1192715;6150321;196911;0,246
9768;1192715;6150321;196912;0,753
9768;1192715;6150321;197001;1,1
9768;1192715;6150321;197002;1,135
9768;1192715;6150321;197003;1,132
9768;1192715;6150321;197004;1,07
9768;1192715;6150321;197005;0,692
9768;1192715;6150321;197006;0,32
9768;1192715;6150321;197007;0,109
9768;1192715;6150321;197008;-0,003
9768;1192715;6150321;197009;-0,024
9768;1192715;6150321;197010;-0,02
9768;1192715;6150321;197011;0,17
9768;1192715;6150321;197012;0,525
9768;1192715;6150321;197101;0,921
9768;1192715;6150321;197102;1,086
9768;1192715;6150321;197103;1,119
9768;1192715;6150321;197104;1,138
9768;1192715;6150321;197105;0,858
9768;1192715;6150321;197106;0,677
9768;1192715;6150321;197107;0,284
9768;1192715;6150321;197108;0,075
9768;1192715;6150321;197109;0,045
9768;1192715;6150321;197110;0,016
9768;1192715;6150321;197111;0,416
9768;1192715;6150321;197112;0,97
9768;1192715;6150321;197201;1,112
9768;1192715;6150321;197202;1,153
9768;1192715;6150321;197203;1,101
9768;1192715;6150321;197204;0,872
9768;1192715;6150321;197205;0,781
9768;1192715;6150321;197206;0,43
9768;1192715;6150321;197207;0,172
9768;1192715;6150321;197208;0,043
9768;1192715;6150321;197209;0,04
9768;1192715;6150321;197210;0,061
9768;1192715;6150321;197211;0,127
9768;1192715;6150321;197212;0,393
9768;1192715;6150321;197301;1,073
9768;1192715;6150321;197302;0,983
9768;1192715;6150321;197303;0,932
9768;1192715;6150321;197304;1,162
9768;1192715;6150321;197305;0,816
9768;1192715;6150321;197306;0,437
9768;1192715;6150321;197307;0,175
9768;1192715;6150321;197308;0,08
9768;1192715;6150321;197309;0,135
9768;1192715;6150321;197310;0,413
9768;1192715;6150321;197311;0,369
9768;1192715;6150321;197312;0,536
9768;1192715;6150321;197401;0,963
9768;1192715;6150321;197402;1,108
9768;1192715;6150321;197403;1
9768;1192715;6150321;197404;1,099
9768;1192715;6150321;197405;0,914
9768;1192715;6150321;197406;0,427
9768;1192715;6150321;197407;0,182
9768;1192715;6150321;197408;0,041
9768;1192715;6150321;197409;0,061
9768;1192715;6150321;197410;0,378
9768;1192715;6150321;197411;0,634
9768;1192715;6150321;197412;0,718
9768;1192715;6150321;197501;0,713
9768;1192715;6150321;197502;1,074
9768;1192715;6150321;197503;1,092
9768;1192715;6150321;197504;1,16
9768;1192715;6150321;197505;0,821
9768;1192715;6150321;197506;0,556
9768;1192715;6150321;197507;0,207
9768;1192715;6150321;197508;0,157
9768;1192715;6150321;197509;0,45
9768;1192715;6150321;197510;0,351
9768;1192715;6150321;197511;0,57
9768;1192715;6150321;197512;0,841
9768;1192715;6150321;197601;0,84
9768;1192715;6150321;197602;1,112
9768;1192715;6150321;197603;1,134
9768;1192715;6150321;197604;0,989
9768;1192715;6150321;197605;0,87
9768;1192715;6150321;197606;0,608
9768;1192715;6150321;197607;0,498
9768;1192715;6150321;197608;0,234
9768;1192715;6150321;197609;0,322
9768;1192715;6150321;197610;0,697
9768;1192715;6150321;197611;1,103
9768;1192715;6150321;197612;1,124
9768;1192715;6150321;197701;1,139
9768;1192715;6150321;197702;1,149
9768;1192715;6150321;197703;0,971
9768;1192715;6150321;197704;0,886
9768;1192715;6150321;197705;0,808
9768;1192715;6150321;197706;0,626
9768;1192715;6150321;197707;0,242
9768;1192715;6150321;197708;0,223
9768;1192715;6150321;197709;0,23
9768;1192715;6150321;197710;0,373
9768;1192715;6150321;197711;0,481
9768;1192715;6150321;197712;0,816
9768;1192715;6150321;197801;0,948
9768;1192715;6150321;197802;1,034
9768;1192715;6150321;197803;1,203
9768;1192715;6150321;197804;1,156
9768;1192715;6150321;197805;0,984
9768;1192715;6150321;197806;0,7
9768;1192715;6150321;197807;0,332
9768;1192715;6150321;197808;0,12
9768;1192715;6150321;197809;0,055
9768;1192715;6150321;197810;0,265
9768;1192715;6150321;197811;0,351
9768;1192715;6150321;197812;0,87
9768;1192715;6150321;197901;1,14
9768;1192715;6150321;197902;1,086
9768;1192715;6150321;197903;1,13
9768;1192715;6150321;197904;1,107
9768;1192715;6150321;197905;0,791
9768;1192715;6150321;197906;0,433
9768;1192715;6150321;197907;0,187
9768;1192715;6150321;197908;0,052
9768;1192715;6150321;197909;0,065
9768;1192715;6150321;197910;0,39
9768;1192715;6150321;197911;0,859
9768;1192715;6150321;197912;1,038
9768;1192715;6150321;198001;1,1
9768;1192715;6150321;198002;1,038
9768;1192715;6150321;198003;1,182
9768;1192715;6150321;198004;1,158
9768;1192715;6150321;198005;1,07
9768;1192715;6150321;198006;0,779
9768;1192715;6150321;198007;0,355
9768;1192715;6150321;198008;0,135
9768;1192715;6150321;198009;0,024
9768;1192715;6150321;198010;0,425
9768;1192715;6150321;198011;1,055
9768;1192715;6150321;198012;1,019
9768;1192715;6150321;198101;0,938
9768;1192715;6150321;198102;0,958
9768;1192715;6150321;198103;1,175
9768;1192715;6150321;198104;1,024
9768;1192715;6150321;198105;0,924
9768;1192715;6150321;198106;0,586
9768;1192715;6150321;198107;0,322
9768;1192715;6150321;198108;0,115
9768;1192715;6150321;198109;0,113
9768;1192715;6150321;198110;0,331
